task,taskSettings,findings,name,complianceRuleCalc,is_enabled,tpaAdditionalParams,apps,status,owner,presets,action,type,id,description,actions,severity,category
63e3984de9c837001204b368,"{'includeLinkToInventory': False, 'includeLinkToCatalog': False, 'includeObjectsReport': False}","{'violated': True, 'findingsAmt': 28635, 'calcDate': '2023-05-19T12:52:57.594Z'}",French CNIL Policy,"{'bigidQuery': 'found outside France', 'maxFindings': '100'}",True,,,VIOLATED,bigidadmin,[],,privacy,5a4d1e759d61718a39bb80e9,found outside France,[],medium,
,"{'includeLinkToInventory': False, 'includeLinkToCatalog': False, 'includeObjectsReport': False}","{'violated': False, 'findingsAmt': 0, 'calcDate': '2023-05-19T12:52:57.913Z'}",German data outside Germany,"{'bigidQuery': 'field=""Citizen ID"" AND country=""Germany"" AND NOT system.location=""Germany""', 'maxFindings': '4000'}",True,,,UNVIOLATED,bigidadmin,[],,privacy,5a946e397b38754ce77a179e,Check for presence of German Citizen ID in Data Sources outside of Germany,[],medium,
5fa52dd87d8f05001441bcbe,"{'includeLinkToInventory': True, 'includeLinkToCatalog': False, 'includeObjectsReport': True}","{'violated': True, 'findingsAmt': 152193, 'calcDate': '2023-05-19T12:52:57.594Z'}",GDPR Findings,"{'bigidQuery': 'country IN (""Germany"", ""France"", ""Spain) NOT IN (Germany"", ""France"", ""Spain"")', 'maxFindings': '10'}",True,,,VIOLATED,bigidadmin,[],,privacy,5add925013b8cd8be88162ac,Triggered when data of EU residence is found outside the EU,[],medium,
,"{'includeLinkToInventory': False, 'includeObjectsReport': False}","{'violated': False, 'findingsAmt': 0, 'calcDate': '2023-05-19T12:52:58.658Z'}",High risk german personal data,"{'bigidQuery': 'field=""Citizen ID"" AND country=""Germany"" AND risk > 75', 'maxFindings': '1000'}",True,,,UNVIOLATED,bigidadmin,[],,privacy,5af460d35ae914929bae33e2,example,[],medium,
5eff561ce0fea30014837d0c,"{'includeLinkToInventory': True, 'includeObjectsReport': True}","{'violated': True, 'findingsAmt': 3084, 'calcDate': '2023-05-19T12:52:57.686Z'}",Open Access,"{'bigidQuery': 'metadata.access_rights=""OPEN ACCESS""', 'maxFindings': '1000'}",True,,,VIOLATED,bigidadmin,[],,access_governance,5c7e9e1eb54c64011607e8bb,Total number of objects with open access shouldn't exceed 1000.,[],medium,
5eff5623e0fea30014837d10,"{'includeLinkToInventory': True, 'includeObjectsReport': True}","{'violated': True, 'findingsAmt': 2542, 'calcDate': '2023-05-19T12:52:58.007Z'}",Open Access in NFS,"{'bigidQuery': 'metadata.access_rights=""OPEN ACCESS"" AND system=""Network File Share""', 'maxFindings': '0'}",True,,,VIOLATED,bigidadmin,[],,access_governance,5c7e9e51b54c64011607e9a3,Should find no open access in NFS.,[],medium,
,"{'includeLinkToInventory': False, 'includeObjectsReport': True}","{'violated': False, 'findingsAmt': 1, 'calcDate': '2023-05-19T12:52:58.126Z'}",Security - Private Keys,"{'bigidQuery': 'field IN (""classifier.Unencrypted PKCS 8 Private Key"", ""classifier.Encrypted PKCS 8 Private Key"", ""classifier.PKCS 1 Private Key"", ""classifier.PGP Private Key"", ""classifier.Textual PPK Private Key"")', 'maxFindings': '1'}",True,,,UNVIOLATED,bigidadmin,[],,catalog,5d70c093d0c41a001a4fd75a,"Private keys are a component of asymmetric cryptography infrastructure. As they have an integral part in network security and in decrypting sensitive information, they are highly sought after by hackers and should be kept in safe locations.",[],medium,Secrets & Keys
61967e2635e1020014d3ff3c,"{'includeLinkToInventory': False, 'includeObjectsReport': True}","{'violated': True, 'findingsAmt': 11189, 'calcDate': '2023-05-19T12:52:58.215Z'}",CCPA - Personal Sensitive,"{'bigidQuery': 'field IN (""classifier.GeographicData"", ""classifier.Geolocation near Term"", ""classifier.Sexual Identity and Orientation (English)"", ""classifier.Sexual Identity and Orientation (English) (Narrow)"", ""classifier.Gender and Sex (English)"", ""classifier.Gender and Sex (English) (Narrow)"", ""classifier.Crime (English)"", ""classifier.Religion (English)"", ""classifier.US Ethnicity (Wide)"", ""classifier.US Ethnicity (Medium)"", ""classifier.Californian Phone Number (Narrow)"", ""classifier.Californian Address"", ""classifier.Date of Birth (DOB)"", ""classifier.Partial Date of Birth (DOB)"", ""classifier.US Full Name"", ""classifier.US Full Name (Wide)"", ""classifier.US Given Name"", ""classifier.US Given Name (Wide)"", ""classifier.US Middle Name"", ""classifier.US Family Name"", ""classifier.US Family Name (Wide)"", ""classifier.California License Plate"", ""classifier.US Political Affiliation"", ""classifier.US Trade Union"", ""classifier.California ZIP+4 Code near Term"", ""classifier.Age"", ""classifier.Street Number and Name (English)"", ""classifier.Country of Origin"", ""classifier.California ZIP Code"", ""classifier.Employment Status (English)"", ""classifier.Employment Status (English) (Wide)"", ""classifier.Employment Date (English)"", ""classifier.MD::Phone Number - MD"", ""classifier.MD::Date of Birth - MD"", ""classifier.MD::Employment Date - MD"", ""classifier.MD::Income - MD"", ""classifier.MD::Geolocation - MD"", ""classifier.Income"", ""classifier.Income (Wide)"", ""classifier.NER::Full Name"", ""classifier.NER::Phone"", ""First Name"", ""Given Name"", ""Middle Name"", ""Last Name"", ""Family Name"", ""Full Name"", ""Alias"", ""Account Name"", ""Address"", ""Street Name and Number"", ""Postal Code"", ""Geolocation"", ""Date of Birth"", ""Gender"", ""Height"", ""Weight"", ""Eye Color"", ""Signature"", ""Crime"", ""Criminal Convictions"", ""Phone Number"", ""Fax Number"", ""Fingerprints"", ""Voice Recordings"", ""Facial Imagery and Recognition"", ""Retinal"", ""Vein Patterns"", ""Occupation and Title"", ""Job Code"", ""Nationality"", ""Country of Birth"", ""Preferences"", ""Trade Union Membership"", ""Language Skills"", ""Citizenship"", ""Ethnicity"", ""Race"", ""Religion"", ""Age"", ""Sex"", ""Sexual Orientation"", ""Military or Veteran Status"", ""Professional Licenses"", ""Browsing or Search History"", ""Social Media Activity"", ""Blood Type"", ""Hair Color"", ""Commercial Information"", ""Work Visa Type"", ""Employment Information"", ""Professional Information"", ""Customer Information"", ""Education Information"", ""Expense"", ""Salary"")', 'maxFindings': '1'}",True,,,VIOLATED,bigidadmin,[],,catalog,5d70c093d0c41a001a4fd75b,"The California Consumer Privacy Act (CCPA) defines 'Personal information' as information that identifies, relates to, describes, is capable of being associated with, or could reasonably be linked, directly or indirectly, with a particular consumer or household. This includes such personal sensitive information as a real name, postal address, unique personal identifiers, online identifiers, biometric information, geolocation data and employment-related information.",[],medium,CCPA
61967ece35e1020014d3ff68,"{'includeLinkToInventory': False, 'includeObjectsReport': True}","{'violated': True, 'findingsAmt': 11220, 'calcDate': '2023-05-19T12:52:58.264Z'}",GDPR - Personal Sensitive,"{'bigidQuery': 'field IN (""classifier.Gender and Sex (Spanish)"", ""classifier.Gender and Sex (Spanish) (Wide)"", ""classifier.GeographicData"", ""classifier.Geolocation near Term"", ""classifier.Sexual Identity and Orientation (English)"", ""classifier.Sexual Identity and Orientation (English) (Narrow)"", ""classifier.Gender and Sex (English)"", ""classifier.Gender and Sex (English) (Narrow)"", ""classifier.Crime (English)"", ""classifier.Crime (Spanish)"", ""classifier.Employment Status (Spanish)"", ""classifier.Employment Status (English) (Wide)"", ""classifier.Employment Status (English)"", ""classifier.Sexual Identity and Orientation (Spanish)"", ""classifier.Religion (English)"", ""classifier.Date of Birth (DOB)"", ""classifier.Partial Date of Birth (DOB)"", ""classifier.US Full Name"", ""classifier.US Full Name (Wide)"" ,""classifier.US Given Name"", ""classifier.US Given Name (Wide)"", ""classifier.US Middle Name"", ""classifier.US Family Name"", ""classifier.US Family Name (Wide)"", ""classifier.Spanish Given Name (Medium)"", ""classifier.Spanish Given Name (Narrow)"", ""classifier.Spanish Family Name (Medium)"", ""classifier.Spanish Family Name (Narrow)"", ""classifier.Vehicle Identification Number (VIN)"", ""classifier.Vehicle Manufacturer"", ""classifier.Car Model"", ""classifier.Age"", ""classifier.Marital Status"", ""classifier.Street Number and Name (English)"", ""classifier.Country of Origin"", ""classifier.Street Number and Name (Spanish)"", ""classifier.Street Number and Name near Term (Spanish) (Narrow)"", ""classifier.Cities (Spanish)"", ""classifier.Populated Place (Spanish Origin)"", ""classifier.Political Ideology (Spanish)"", ""classifier.Political Ideology (Spanish) (Wide)"", ""classifier.Religion (Spanish)"", ""classifier.Income (Spanish)"", ""classifier.Nationality (Portuguese)"", ""classifier.Country (Portuguese)"", ""classifier.Income"",""classifier.Marital Status (Spanish)"", ""classifier.Marital Status (Spanish) (Wide)"", ""classifier.Marital Status (Portuguese)"", ""classifier.Marital Status (Portuguese) (Wide)"", ""classifier.MD::Income - MD"", ""classifier.MD::Geolocation - MD"", ""classifier.MD::Phone Number - MD"", ""classifier.MD::Date of Birth - MD"", ""classifier.MD::Employment Date - MD"", ""classifier.MD::Postal Code - MD"", ""classifier.NER::Full Name"", ""classifier.NER::Country/City"", ""classifier.NER::Phone"", ""First Name"", ""Given Name"", ""Middle Name"", ""Last Name"", ""Family Name"", ""Full Name"", ""Alias"", ""Account Name"", ""Address"", ""Street Name and Number"", ""Postal Code"", ""Geolocation"", ""State"", ""City"", ""District"", ""Date of Birth"", ""Gender"", ""Height"", ""Weight"", ""Eye Color"", ""Signature"", ""Crime"", ""Criminal Convictions"", ""Vehicle Information"", ""Phone Number"", ""Fax Number"", ""Fingerprints"", ""Voice Recordings"", ""Facial Imagery and Recognition"", ""Retinal"", ""Vein Patterns"", ""Sleep Data"", ""Job Code"", ""Nationality"", ""Country of Birth"", ""Preferences"", ""Trade Union Membership"", ""Language Skills"", ""Citizenship"", ""Ethnicity"", ""Race"", ""Religion"", ""Age"", ""Sex"", ""Sexual Orientation"", ""Browsing or Search History"", ""Social Media Activity"", ""Blood Type"", ""Hair Color"", ""Commercial Information"", ""Work Visa Type"", ""Employment Information"", ""Professional Information"", ""Customer Information"", ""Political Activities"", ""Expense"", ""Salary"")', 'maxFindings': '1'}",True,,,VIOLATED,bigidadmin,[],,catalog,5d70c093d0c41a001a4fd75c,"The EU's General Data Protection Regulation (GDPR) defines 'personal data' as information relating to an identified or identifiable natural person. This includes such personal sensitive information as a name, an identification number, location data, an online identifier or to one or more factors specific to the physical, physiological, genetic, mental, economic, cultural or social identity of that natural person.",[],medium,GDPR
61967e1135e1020014d3ff33,"{'includeLinkToInventory': False, 'includeObjectsReport': True}","{'violated': True, 'findingsAmt': 543, 'calcDate': '2023-05-19T12:52:58.219Z'}",CCPA - Financial PII,"{'bigidQuery': 'field IN (""classifier.Magnetic Card Track 1"", ""classifier.Magnetic Card Track 2"", ""classifier.Magnetic Card Track 3"", ""classifier.Magnetic Card Track 1 (Wide)"", ""classifier.Magnetic Card Track 2 (Wide)"", ""classifier.Magnetic Card Track 3 (Wide)"", ""classifier.US Bank Account Number"", ""classifier.Income"", ""classifier.Credit Card"", ""classifier.Credit Card (Narrow)"", ""classifier.Credit Card Number near Term"", ""classifier.Masked Credit Card Number near Term"", ""classifier.Last Four Credit Card Number Digits"", ""classifier.Card verification value (CVV)"", ""classifier.Personal identification number (PIN)"", ""classifier.Card verification value (CVV) near Expiration date"", ""classifier.Credit Card near Card verification value (CVV)"", ""classifier.Credit Card near Personal identification number (PIN)"", ""classifier.Loan ID Number"", ""classifier.UnionPay Credit Card Number"", ""classifier.MD::Credit Card - MD"", ""classifier.MD::Bank Account Number - MD"", ""classifier.MD::Loan ID Number - MD"", ""Credit Card Number"", ""classifier.MICR Routing Number (Narrow)"", ""classifier.MICR Routing Number (Medium)"", ""classifier.MICR Routing Number (Wide)"", ""classifier.US SWIFT Code"", ""classifier.MD::Card verification value (CVV) - MD"", ""Credit Card Expiration Date"", ""Bank Account Number"", ""Customer Account Number"", ""Customer Purchase History"", ""Financial Transactions History"", ""Bank Code"", ""SWIFT Code"", ""CVV"", ""Income"", ""Financial Information"", ""Expense"", ""Salary"")', 'maxFindings': '1'}",True,,,VIOLATED,bigidadmin,[],,catalog,5d70c093d0c41a001a4fd75d,"The California Consumer Privacy Act (CCPA) defines some financial information as 'Personal information', such as bank account numbers, credit card numbers, and purchasing history.",[],medium,CCPA
